###################################################
# Classe 15 : K = 4, M = 2, T = 10, N = 20
# Exemplo: 6.   c15ex06.dat          Semente: 6838
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 20

global L = [540, 460]

global l = [55, 69, 70, 79, 79, 86, 99, 105, 106, 108, 110, 115, 119, 124, 126, 134, 138, 142, 147, 148]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [49.68 42.32; 49.68 42.32; 49.68 42.32; 49.68 42.32]

global c_km = [34.56 21.16; 47.52 34.96; 39.96 26.68; 44.28 29.44]

global p_km = [4.804 2.941; 6.605 4.859; 5.554 3.709; 6.155 4.092]

global c_x = [
1 1 1 18.144;
1 1 2 18.144;
1 1 3 18.144;
1 1 4 18.144;
1 1 5 18.144;
1 1 6 18.144;
1 1 7 18.144;
1 1 8 18.144;
1 1 9 18.144;
1 1 10 18.144;
1 2 1 17.296;
1 2 2 17.296;
1 2 3 17.296;
1 2 4 17.296;
1 2 5 17.296;
1 2 6 17.296;
1 2 7 17.296;
1 2 8 17.296;
1 2 9 17.296;
1 2 10 17.296;
2 1 1 16.2;
2 1 2 16.2;
2 1 3 16.2;
2 1 4 16.2;
2 1 5 16.2;
2 1 6 16.2;
2 1 7 16.2;
2 1 8 16.2;
2 1 9 16.2;
2 1 10 16.2;
2 2 1 22.264;
2 2 2 22.264;
2 2 3 22.264;
2 2 4 22.264;
2 2 5 22.264;
2 2 6 22.264;
2 2 7 22.264;
2 2 8 22.264;
2 2 9 22.264;
2 2 10 22.264;
3 1 1 24.084;
3 1 2 24.084;
3 1 3 24.084;
3 1 4 24.084;
3 1 5 24.084;
3 1 6 24.084;
3 1 7 24.084;
3 1 8 24.084;
3 1 9 24.084;
3 1 10 24.084;
3 2 1 22.448;
3 2 2 22.448;
3 2 3 22.448;
3 2 4 22.448;
3 2 5 22.448;
3 2 6 22.448;
3 2 7 22.448;
3 2 8 22.448;
3 2 9 22.448;
3 2 10 22.448;
4 1 1 20.52;
4 1 2 20.52;
4 1 3 20.52;
4 1 4 20.52;
4 1 5 20.52;
4 1 6 20.52;
4 1 7 20.52;
4 1 8 20.52;
4 1 9 20.52;
4 1 10 20.52;
4 2 1 16.928;
4 2 2 16.928;
4 2 3 16.928;
4 2 4 16.928;
4 2 5 16.928;
4 2 6 16.928;
4 2 7 16.928;
4 2 8 16.928;
4 2 9 16.928;
4 2 10 16.928;
]

global c_z = [
1 1 1 0.581;
1 1 2 0.581;
1 1 3 0.581;
1 1 4 0.581;
1 1 5 0.581;
1 1 6 0.581;
1 1 7 0.581;
1 1 8 0.581;
1 1 9 0.581;
1 1 10 0.581;
1 2 1 0.692;
1 2 2 0.692;
1 2 3 0.692;
1 2 4 0.692;
1 2 5 0.692;
1 2 6 0.692;
1 2 7 0.692;
1 2 8 0.692;
1 2 9 0.692;
1 2 10 0.692;
2 1 1 0.761;
2 1 2 0.761;
2 1 3 0.761;
2 1 4 0.761;
2 1 5 0.761;
2 1 6 0.761;
2 1 7 0.761;
2 1 8 0.761;
