###################################################
# Classe 2 : K = 2, M = 2, T = 8, N = 10
# Exemplo: 9.   c2ex09.dat          Semente: 2919
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 10

global L = [540, 460]

global l = [53, 54, 66, 69, 70, 72, 111, 123, 133, 136]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [34.56 29.44; 34.56 29.44]

global c_km = [48.6 38.64; 35.64 33.12]

global p_km = [6.269 4.985; 4.598 4.272]

global c_x = [
1 1 1 24.732;
1 1 2 24.732;
1 1 3 24.732;
1 1 4 24.732;
1 1 5 24.732;
1 1 6 24.732;
1 1 7 24.732;
1 1 8 24.732;
1 2 1 19.688;
1 2 2 19.688;
1 2 3 19.688;
1 2 4 19.688;
1 2 5 19.688;
1 2 6 19.688;
1 2 7 19.688;
1 2 8 19.688;
2 1 1 17.82;
2 1 2 17.82;
2 1 3 17.82;
2 1 4 17.82;
2 1 5 17.82;
2 1 6 17.82;
2 1 7 17.82;
2 1 8 17.82;
2 2 1 23.0;
2 2 2 23.0;
2 2 3 23.0;
2 2 4 23.0;
2 2 5 23.0;
2 2 6 23.0;
2 2 7 23.0;
2 2 8 23.0;
]

global c_z = [
1 1 1 0.89;
1 1 2 0.89;
1 1 3 0.89;
1 1 4 0.89;
1 1 5 0.89;
1 1 6 0.89;
1 1 7 0.89;
1 1 8 0.89;
1 2 1 0.63;
1 2 2 0.63;
1 2 3 0.63;
1 2 4 0.63;
1 2 5 0.63;
1 2 6 0.63;
1 2 7 0.63;
1 2 8 0.63;
2 1 1 0.713;
2 1 2 0.713;
2 1 3 0.713;
2 1 4 0.713;
2 1 5 0.713;
2 1 6 0.713;
2 1 7 0.713;
2 1 8 0.713;
2 2 1 0.736;
2 2 2 0.736;
2 2 3 0.736;
2 2 4 0.736;
2 2 5 0.736;
2 2 6 0.736;
2 2 7 0.736;
2 2 8 0.736;
]

global c_y = [
1 1 1 3.215;
1 1 2 3.215;
1 1 3 3.215;
1 1 4 3.215;
1 1 5 3.215;
1 1 6 3.215;
1 1 7 3.215;
1 1 8 3.215;
1 2 1 2.363;
1 2 2 2.363;
1 2 3 2.363;
1 2 4 2.363;
1 2 5 2.363;
1 2 6 2.363;
1 2 7 2.363;
1 2 8 2.363;
2 1 1 1.782;
2 1 2 1.782;
2 1 3 1.782;
2 1 4 1.782;
2 1 5 1.782;
2 1 6 1.782;
2 1 7 1.782;
2 1 8 1.782;
2 2 1 2.53;
2 2 2 2.53;
2 2 3 2.53;
2 2 4 2.53;
2 2 5 2.53;
2 2 6 2.53;
2 2 7 2.53;
2 2 8 2.53;
]

global c_sc = [
1 1 1 0.383;
1 1 2 0.383;
1 1 3 0.383;
1 1 4 0.383;
1 1 5 0.383;
1 1 6 0.383;
1 1 7 0.383;
1 1 8 0.383;
1 2 1 0.354;
1 2 2 0.354;
1 2 3 0.354;
1 2 4 0.354;
1 2 5 0.354;
1 2 6 0.354;
1 2 7 0.354;
1 2 8 0.354;
2 1 1 0.123;
2 1 2 0.123;
2 1 3 0.123;
