###################################################
# Classe 23 : K = 6, M = 2, T = 10, N = 10
# Exemplo: 10.   c23ex10.dat          Semente: 9879
#-----------------------Dados----------------------
global K = 6
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [50, 53, 72, 78, 80, 85, 86, 112, 117, 131]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [43.2 36.8; 43.2 36.8; 43.2 36.8; 43.2 36.8; 43.2 36.8; 43.2 36.8]

global c_km = [29.16 31.28; 30.24 44.16; 36.72 19.32; 45.36 23.0; 39.96 18.4; 46.44 21.16]

global p_km = [3.324 3.566; 3.447 5.034; 4.186 2.202; 5.171 2.622; 4.555 2.098; 5.294 2.412]

global c_x = [
1 1 1 23.112;
1 1 2 23.112;
1 1 3 23.112;
1 1 4 23.112;
1 1 5 23.112;
1 1 6 23.112;
1 1 7 23.112;
1 1 8 23.112;
1 1 9 23.112;
1 1 10 23.112;
1 2 1 19.044;
1 2 2 19.044;
1 2 3 19.044;
1 2 4 19.044;
1 2 5 19.044;
1 2 6 19.044;
1 2 7 19.044;
1 2 8 19.044;
1 2 9 19.044;
1 2 10 19.044;
2 1 1 18.576;
2 1 2 18.576;
2 1 3 18.576;
2 1 4 18.576;
2 1 5 18.576;
2 1 6 18.576;
2 1 7 18.576;
2 1 8 18.576;
2 1 9 18.576;
2 1 10 18.576;
2 2 1 15.824;
2 2 2 15.824;
2 2 3 15.824;
2 2 4 15.824;
2 2 5 15.824;
2 2 6 15.824;
2 2 7 15.824;
2 2 8 15.824;
2 2 9 15.824;
2 2 10 15.824;
3 1 1 17.28;
3 1 2 17.28;
3 1 3 17.28;
3 1 4 17.28;
3 1 5 17.28;
3 1 6 17.28;
3 1 7 17.28;
3 1 8 17.28;
3 1 9 17.28;
3 1 10 17.28;
3 2 1 14.995;
3 2 2 14.995;
3 2 3 14.995;
3 2 4 14.995;
3 2 5 14.995;
3 2 6 14.995;
3 2 7 14.995;
3 2 8 14.995;
3 2 9 14.995;
3 2 10 14.995;
4 1 1 24.084;
4 1 2 24.084;
4 1 3 24.084;
4 1 4 24.084;
4 1 5 24.084;
4 1 6 24.084;
4 1 7 24.084;
4 1 8 24.084;
4 1 9 24.084;
4 1 10 24.084;
4 2 1 17.572;
4 2 2 17.572;
4 2 3 17.572;
4 2 4 17.572;
4 2 5 17.572;
4 2 6 17.572;
4 2 7 17.572;
4 2 8 17.572;
4 2 9 17.572;
4 2 10 17.572;
5 1 1 24.516;
5 1 2 24.516;
5 1 3 24.516;
5 1 4 24.516;
5 1 5 24.516;
5 1 6 24.516;
5 1 7 24.516;
5 1 8 24.516;
5 1 9 24.516;
5 1 10 24.516;
5 2 1 23.0;
5 2 2 23.0;
5 2 3 23.0;
5 2 4 23.0;
5 2 5 23.0;
5 2 6 23.0;
5 2 7 23.0;
5 2 8 23.0;
5 2 9 23.0;
5 2 10 23.0;
6 1 1 21.168;
6 1 2 21.168;
6 1 3 21.168;
6 1 4 21.168;
