###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 6.   c14ex06.dat          Semente: 1500
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [55, 81, 83, 102, 104, 118, 127, 137, 137, 146]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [27.0 23.0; 27.0 23.0; 27.0 23.0; 27.0 23.0]

global c_km = [28.08 19.32; 25.92 31.28; 45.36 27.6; 28.08 26.68]

global p_km = [4.184 2.879; 3.862 4.661; 6.759 4.112; 4.184 3.975]

global c_x = [
1 1 1 21.492;
1 1 2 21.492;
1 1 3 21.492;
1 1 4 21.492;
1 1 5 21.492;
1 1 6 21.492;
1 1 7 21.492;
1 1 8 21.492;
1 1 9 21.492;
1 1 10 21.492;
1 2 1 19.044;
1 2 2 19.044;
1 2 3 19.044;
1 2 4 19.044;
1 2 5 19.044;
1 2 6 19.044;
1 2 7 19.044;
1 2 8 19.044;
1 2 9 19.044;
1 2 10 19.044;
2 1 1 20.735;
2 1 2 20.735;
2 1 3 20.735;
2 1 4 20.735;
2 1 5 20.735;
2 1 6 20.735;
2 1 7 20.735;
2 1 8 20.735;
2 1 9 20.735;
2 1 10 20.735;
2 2 1 14.536;
2 2 2 14.536;
2 2 3 14.536;
2 2 4 14.536;
2 2 5 14.536;
2 2 6 14.536;
2 2 7 14.536;
2 2 8 14.536;
2 2 9 14.536;
2 2 10 14.536;
3 1 1 21.492;
3 1 2 21.492;
3 1 3 21.492;
3 1 4 21.492;
3 1 5 21.492;
3 1 6 21.492;
3 1 7 21.492;
3 1 8 21.492;
3 1 9 21.492;
3 1 10 21.492;
3 2 1 19.136;
3 2 2 19.136;
3 2 3 19.136;
3 2 4 19.136;
3 2 5 19.136;
3 2 6 19.136;
3 2 7 19.136;
3 2 8 19.136;
3 2 9 19.136;
3 2 10 19.136;
4 1 1 22.14;
4 1 2 22.14;
4 1 3 22.14;
4 1 4 22.14;
4 1 5 22.14;
4 1 6 22.14;
4 1 7 22.14;
4 1 8 22.14;
4 1 9 22.14;
4 1 10 22.14;
4 2 1 22.816;
4 2 2 22.816;
4 2 3 22.816;
4 2 4 22.816;
4 2 5 22.816;
4 2 6 22.816;
4 2 7 22.816;
4 2 8 22.816;
4 2 9 22.816;
4 2 10 22.816;
]

global c_z = [
1 1 1 1.053;
1 1 2 1.053;
1 1 3 1.053;
1 1 4 1.053;
1 1 5 1.053;
1 1 6 1.053;
1 1 7 1.053;
1 1 8 1.053;
1 1 9 1.053;
1 1 10 1.053;
1 2 1 0.571;
1 2 2 0.571;
1 2 3 0.571;
1 2 4 0.571;
1 2 5 0.571;
1 2 6 0.571;
1 2 7 0.571;
1 2 8 0.571;
1 2 9 0.571;
1 2 10 0.571;
2 1 1 1.016;
2 1 2 1.016;
2 1 3 1.016;
2 1 4 1.016;
2 1 5 1.016;
2 1 6 1.016;
2 1 7 1.016;
2 1 8 1.016;
2 1 9 1.016;
2 1 10 1.016;
