###################################################
# Classe 4 : K = 2, M = 2, T = 10, N = 5
# Exemplo: 2.   c4ex02.dat          Semente: 5000
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 10
global N = 5

global L = [540, 460]

global l = [56, 88, 90, 93, 101]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [12.96 11.04; 12.96 11.04]

global c_km = [54.0 36.8; 50.76 42.32]

global p_km = [6.534 4.453; 6.142 5.121]

global c_x = [
1 1 1 24.624;
1 1 2 24.624;
1 1 3 24.624;
1 1 4 24.624;
1 1 5 24.624;
1 1 6 24.624;
1 1 7 24.624;
1 1 8 24.624;
1 1 9 24.624;
1 1 10 24.624;
1 2 1 15.824;
1 2 2 15.824;
1 2 3 15.824;
1 2 4 15.824;
1 2 5 15.824;
1 2 6 15.824;
1 2 7 15.824;
1 2 8 15.824;
1 2 9 15.824;
1 2 10 15.824;
2 1 1 17.928;
2 1 2 17.928;
2 1 3 17.928;
2 1 4 17.928;
2 1 5 17.928;
2 1 6 17.928;
2 1 7 17.928;
2 1 8 17.928;
2 1 9 17.928;
2 1 10 17.928;
2 2 1 19.779;
2 2 2 19.779;
2 2 3 19.779;
2 2 4 19.779;
2 2 5 19.779;
2 2 6 19.779;
2 2 7 19.779;
2 2 8 19.779;
2 2 9 19.779;
2 2 10 19.779;
]

global c_z = [
1 1 1 0.911;
1 1 2 0.911;
1 1 3 0.911;
1 1 4 0.911;
1 1 5 0.911;
1 1 6 0.911;
1 1 7 0.911;
1 1 8 0.911;
1 1 9 0.911;
1 1 10 0.911;
1 2 1 0.601;
1 2 2 0.601;
1 2 3 0.601;
1 2 4 0.601;
1 2 5 0.601;
1 2 6 0.601;
1 2 7 0.601;
1 2 8 0.601;
1 2 9 0.601;
1 2 10 0.601;
2 1 1 0.556;
2 1 2 0.556;
2 1 3 0.556;
2 1 4 0.556;
2 1 5 0.556;
2 1 6 0.556;
2 1 7 0.556;
2 1 8 0.556;
2 1 9 0.556;
2 1 10 0.556;
2 2 1 0.712;
2 2 2 0.712;
2 2 3 0.712;
2 2 4 0.712;
2 2 5 0.712;
2 2 6 0.712;
2 2 7 0.712;
2 2 8 0.712;
2 2 9 0.712;
2 2 10 0.712;
]

global c_y = [
1 1 1 2.709;
1 1 2 2.709;
1 1 3 2.709;
1 1 4 2.709;
1 1 5 2.709;
1 1 6 2.709;
1 1 7 2.709;
1 1 8 2.709;
1 1 9 2.709;
