###################################################
# Classe 15 : K = 4, M = 2, T = 10, N = 20
# Exemplo: 9.   c15ex09.dat          Semente: 9192
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 20

global L = [540, 460]

global l = [53, 64, 71, 72, 72, 73, 74, 87, 88, 91, 97, 100, 109, 110, 116, 117, 136, 139, 140, 144]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [47.52 40.48; 47.52 40.48; 47.52 40.48; 47.52 40.48]

global c_km = [46.44 29.44; 36.72 41.4; 21.6 46.0; 38.88 19.32]

global p_km = [5.526 3.503; 4.37 4.927; 2.57 5.474; 4.627 2.299]

global c_x = [
1 1 1 21.924;
1 1 2 21.924;
1 1 3 21.924;
1 1 4 21.924;
1 1 5 21.924;
1 1 6 21.924;
1 1 7 21.924;
1 1 8 21.924;
1 1 9 21.924;
1 1 10 21.924;
1 2 1 15.915;
1 2 2 15.915;
1 2 3 15.915;
1 2 4 15.915;
1 2 5 15.915;
1 2 6 15.915;
1 2 7 15.915;
1 2 8 15.915;
1 2 9 15.915;
1 2 10 15.915;
2 1 1 20.52;
2 1 2 20.52;
2 1 3 20.52;
2 1 4 20.52;
2 1 5 20.52;
2 1 6 20.52;
2 1 7 20.52;
2 1 8 20.52;
2 1 9 20.52;
2 1 10 20.52;
2 2 1 19.044;
2 2 2 19.044;
2 2 3 19.044;
2 2 4 19.044;
2 2 5 19.044;
2 2 6 19.044;
2 2 7 19.044;
2 2 8 19.044;
2 2 9 19.044;
2 2 10 19.044;
3 1 1 17.604;
3 1 2 17.604;
3 1 3 17.604;
3 1 4 17.604;
3 1 5 17.604;
3 1 6 17.604;
3 1 7 17.604;
3 1 8 17.604;
3 1 9 17.604;
3 1 10 17.604;
3 2 1 20.791;
3 2 2 20.791;
3 2 3 20.791;
3 2 4 20.791;
3 2 5 20.791;
3 2 6 20.791;
3 2 7 20.791;
3 2 8 20.791;
3 2 9 20.791;
3 2 10 20.791;
4 1 1 16.632;
4 1 2 16.632;
4 1 3 16.632;
4 1 4 16.632;
4 1 5 16.632;
4 1 6 16.632;
4 1 7 16.632;
4 1 8 16.632;
4 1 9 16.632;
4 1 10 16.632;
4 2 1 13.892;
4 2 2 13.892;
4 2 3 13.892;
4 2 4 13.892;
4 2 5 13.892;
4 2 6 13.892;
4 2 7 13.892;
4 2 8 13.892;
4 2 9 13.892;
4 2 10 13.892;
]

global c_z = [
1 1 1 0.767;
1 1 2 0.767;
1 1 3 0.767;
1 1 4 0.767;
1 1 5 0.767;
1 1 6 0.767;
1 1 7 0.767;
1 1 8 0.767;
1 1 9 0.767;
1 1 10 0.767;
1 2 1 0.732;
1 2 2 0.732;
1 2 3 0.732;
1 2 4 0.732;
1 2 5 0.732;
1 2 6 0.732;
1 2 7 0.732;
1 2 8 0.732;
1 2 9 0.732;
1 2 10 0.732;
2 1 1 0.882;
2 1 2 0.882;
2 1 3 0.882;
2 1 4 0.882;
2 1 5 0.882;
2 1 6 0.882;
2 1 7 0.882;
2 1 8 0.882;
