###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 4.   c19ex04.dat          Semente: 9192
#-----------------------Dados----------------------
global K = 6
global M = 2
global T = 8
global N = 5

global L = [540, 460]

global l = [53, 64, 88, 110, 140]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [36.72 31.28; 36.72 31.28; 36.72 31.28; 36.72 31.28; 36.72 31.28; 36.72 31.28]

global c_km = [49.68 24.84; 28.08 36.8; 34.56 45.08; 33.48 31.28; 43.2 24.84; 37.8 24.84]

global p_km = [7.204 3.602; 4.072 5.336; 5.011 6.537; 4.855 4.536; 6.264 3.602; 5.481 3.602]

global c_x = [
1 1 1 18.468;
1 1 2 18.468;
1 1 3 18.468;
1 1 4 18.468;
1 1 5 18.468;
1 1 6 18.468;
1 1 7 18.468;
1 1 8 18.468;
1 2 1 17.572;
1 2 2 17.572;
1 2 3 17.572;
1 2 4 17.572;
1 2 5 17.572;
1 2 6 17.572;
1 2 7 17.572;
1 2 8 17.572;
2 1 1 25.164;
2 1 2 25.164;
2 1 3 25.164;
2 1 4 25.164;
2 1 5 25.164;
2 1 6 25.164;
2 1 7 25.164;
2 1 8 25.164;
2 2 1 21.343;
2 2 2 21.343;
2 2 3 21.343;
2 2 4 21.343;
2 2 5 21.343;
2 2 6 21.343;
2 2 7 21.343;
2 2 8 21.343;
3 1 1 24.407;
3 1 2 24.407;
3 1 3 24.407;
3 1 4 24.407;
3 1 5 24.407;
3 1 6 24.407;
3 1 7 24.407;
3 1 8 24.407;
3 2 1 23.0;
3 2 2 23.0;
3 2 3 23.0;
3 2 4 23.0;
3 2 5 23.0;
3 2 6 23.0;
3 2 7 23.0;
3 2 8 23.0;
4 1 1 21.276;
4 1 2 21.276;
4 1 3 21.276;
4 1 4 21.276;
4 1 5 21.276;
4 1 6 21.276;
4 1 7 21.276;
4 1 8 21.276;
4 2 1 14.26;
4 2 2 14.26;
4 2 3 14.26;
4 2 4 14.26;
4 2 5 14.26;
4 2 6 14.26;
4 2 7 14.26;
4 2 8 14.26;
5 1 1 16.2;
5 1 2 16.2;
5 1 3 16.2;
5 1 4 16.2;
5 1 5 16.2;
5 1 6 16.2;
5 1 7 16.2;
5 1 8 16.2;
5 2 1 17.204;
5 2 2 17.204;
5 2 3 17.204;
5 2 4 17.204;
5 2 5 17.204;
5 2 6 17.204;
5 2 7 17.204;
5 2 8 17.204;
6 1 1 21.924;
6 1 2 21.924;
6 1 3 21.924;
6 1 4 21.924;
6 1 5 21.924;
6 1 6 21.924;
6 1 7 21.924;
6 1 8 21.924;
6 2 1 18.676;
6 2 2 18.676;
6 2 3 18.676;
6 2 4 18.676;
6 2 5 18.676;
6 2 6 18.676;
6 2 7 18.676;
6 2 8 18.676;
]

global c_z = [
1 1 1 0.702;
1 1 2 0.702;
1 1 3 0.702;
1 1 4 0.702;
1 1 5 0.702;
1 1 6 0.702;
1 1 7 0.702;
1 1 8 0.702;
1 2 1 0.527;
1 2 2 0.527;
1 2 3 0.527;
1 2 4 0.527;
1 2 5 0.527;
1 2 6 0.527;
1 2 7 0.527;
1 2 8 0.527;
2 1 1 0.805;
2 1 2 0.805;
2 1 3 0.805;
2 1 4 0.805;
2 1 5 0.805;
2 1 6 0.805;
2 1 7 0.805;
2 1 8 0.805;
2 2 1 0.747;
2 2 2 0.747;
2 2 3 0.747;
2 2 4 0.747;
2 2 5 0.747;
2 2 6 0.747;
2 2 7 0.747;
2 2 8 0.747;
3 1 1 0.732;
3 1 2 0.732;
3 1 3 0.732;
3 1 4 0.732;
3 1 5 0.732;
3 1 6 0.732;
3 1 7 0.732;
3 1 8 0.732;
3 2 1 0.989;
3 2 2 0.989;
3 2 3 0.989;
3 2 4 0.989;
3 2 5 0.989;
3 2 6 0.989;
3 2 7 0.989;
3 2 8 0.989;
4 1 1 0.723;
4 1 2 0.723;
4 1 3 0.723;
4 1 4 0.723;
4 1 5 0.723;
4 1 6 0.723;
