###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 1.   c14ex01.dat          Semente: 1534
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [61, 63, 78, 79, 98, 123, 135, 139, 140, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [31.32 26.68; 31.32 26.68; 31.32 26.68; 31.32 26.68]

global c_km = [39.96 23.0; 27.0 34.04; 52.92 32.2; 34.56 31.28]

global p_km = [5.235 3.013; 3.537 4.459; 6.933 4.218; 4.527 4.098]

global c_x = [
1 1 1 20.735;
1 1 2 20.735;
1 1 3 20.735;
1 1 4 20.735;
1 1 5 20.735;
1 1 6 20.735;
1 1 7 20.735;
1 1 8 20.735;
1 1 9 20.735;
1 1 10 20.735;
1 2 1 19.596;
1 2 2 19.596;
1 2 3 19.596;
1 2 4 19.596;
1 2 5 19.596;
1 2 6 19.596;
1 2 7 19.596;
1 2 8 19.596;
1 2 9 19.596;
1 2 10 19.596;
2 1 1 22.355;
2 1 2 22.355;
2 1 3 22.355;
2 1 4 22.355;
2 1 5 22.355;
2 1 6 22.355;
2 1 7 22.355;
2 1 8 22.355;
2 1 9 22.355;
2 1 10 22.355;
2 2 1 16.836;
2 2 2 16.836;
2 2 3 16.836;
2 2 4 16.836;
2 2 5 16.836;
2 2 6 16.836;
2 2 7 16.836;
2 2 8 16.836;
2 2 9 16.836;
2 2 10 16.836;
3 1 1 22.572;
3 1 2 22.572;
3 1 3 22.572;
3 1 4 22.572;
3 1 5 22.572;
3 1 6 22.572;
3 1 7 22.572;
3 1 8 22.572;
3 1 9 22.572;
3 1 10 22.572;
3 2 1 19.779;
3 2 2 19.779;
3 2 3 19.779;
3 2 4 19.779;
3 2 5 19.779;
3 2 6 19.779;
3 2 7 19.779;
3 2 8 19.779;
3 2 9 19.779;
3 2 10 19.779;
4 1 1 22.14;
4 1 2 22.14;
4 1 3 22.14;
4 1 4 22.14;
4 1 5 22.14;
4 1 6 22.14;
4 1 7 22.14;
4 1 8 22.14;
4 1 9 22.14;
4 1 10 22.14;
4 2 1 21.896;
4 2 2 21.896;
4 2 3 21.896;
4 2 4 21.896;
4 2 5 21.896;
4 2 6 21.896;
4 2 7 21.896;
4 2 8 21.896;
4 2 9 21.896;
4 2 10 21.896;
]

global c_z = [
1 1 1 0.829;
1 1 2 0.829;
1 1 3 0.829;
1 1 4 0.829;
1 1 5 0.829;
1 1 6 0.829;
1 1 7 0.829;
1 1 8 0.829;
1 1 9 0.829;
1 1 10 0.829;
1 2 1 0.627;
1 2 2 0.627;
1 2 3 0.627;
1 2 4 0.627;
1 2 5 0.627;
1 2 6 0.627;
1 2 7 0.627;
1 2 8 0.627;
1 2 9 0.627;
1 2 10 0.627;
2 1 1 0.939;
2 1 2 0.939;
2 1 3 0.939;
2 1 4 0.939;
2 1 5 0.939;
2 1 6 0.939;
2 1 7 0.939;
2 1 8 0.939;
2 1 9 0.939;
2 1 10 0.939;
