###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 10.   c14ex10.dat          Semente: 8000
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [52, 53, 55, 57, 76, 112, 112, 115, 126, 134]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [39.96 34.04; 39.96 34.04; 39.96 34.04; 39.96 34.04]

global c_km = [34.56 46.0; 32.4 40.48; 27.0 34.96; 38.88 43.24]

global p_km = [4.458 5.934; 4.18 5.222; 3.483 4.51; 5.016 5.578]

global c_x = [
1 1 1 22.68;
1 1 2 22.68;
1 1 3 22.68;
1 1 4 22.68;
1 1 5 22.68;
1 1 6 22.68;
1 1 7 22.68;
1 1 8 22.68;
1 1 9 22.68;
1 1 10 22.68;
1 2 1 20.148;
1 2 2 20.148;
1 2 3 20.148;
1 2 4 20.148;
1 2 5 20.148;
1 2 6 20.148;
1 2 7 20.148;
1 2 8 20.148;
1 2 9 20.148;
1 2 10 20.148;
2 1 1 21.924;
2 1 2 21.924;
2 1 3 21.924;
2 1 4 21.924;
2 1 5 21.924;
2 1 6 21.924;
2 1 7 21.924;
2 1 8 21.924;
2 1 9 21.924;
2 1 10 21.924;
2 2 1 20.24;
2 2 2 20.24;
2 2 3 20.24;
2 2 4 20.24;
2 2 5 20.24;
2 2 6 20.24;
2 2 7 20.24;
2 2 8 20.24;
2 2 9 20.24;
2 2 10 20.24;
3 1 1 25.704;
3 1 2 25.704;
3 1 3 25.704;
3 1 4 25.704;
3 1 5 25.704;
3 1 6 25.704;
3 1 7 25.704;
3 1 8 25.704;
3 1 9 25.704;
3 1 10 25.704;
3 2 1 22.172;
3 2 2 22.172;
3 2 3 22.172;
3 2 4 22.172;
3 2 5 22.172;
3 2 6 22.172;
3 2 7 22.172;
3 2 8 22.172;
3 2 9 22.172;
3 2 10 22.172;
4 1 1 20.196;
4 1 2 20.196;
4 1 3 20.196;
4 1 4 20.196;
4 1 5 20.196;
4 1 6 20.196;
4 1 7 20.196;
4 1 8 20.196;
4 1 9 20.196;
4 1 10 20.196;
4 2 1 18.676;
4 2 2 18.676;
4 2 3 18.676;
4 2 4 18.676;
4 2 5 18.676;
4 2 6 18.676;
4 2 7 18.676;
4 2 8 18.676;
4 2 9 18.676;
4 2 10 18.676;
]

global c_z = [
1 1 1 0.93;
1 1 2 0.93;
1 1 3 0.93;
1 1 4 0.93;
1 1 5 0.93;
1 1 6 0.93;
1 1 7 0.93;
1 1 8 0.93;
1 1 9 0.93;
1 1 10 0.93;
1 2 1 0.705;
1 2 2 0.705;
1 2 3 0.705;
1 2 4 0.705;
1 2 5 0.705;
1 2 6 0.705;
1 2 7 0.705;
1 2 8 0.705;
1 2 9 0.705;
1 2 10 0.705;
2 1 1 0.899;
2 1 2 0.899;
2 1 3 0.899;
2 1 4 0.899;
2 1 5 0.899;
2 1 6 0.899;
2 1 7 0.899;
2 1 8 0.899;
2 1 9 0.899;
2 1 10 0.899;
